Tanggal,Nama_Barang,Jumlah_Barang,Satuan
11/6/2023,Minyak Kita Botol 2 Liter,1,Dus
11/6/2023,Sun Kara ,30,Dus
11/6/2023,Gulaku 1 Kg,30,Dus
11/6/2023,Indomie Kari Ayam ,50,Dus
11/6/2023,Abc Susu,25,Dus
11/6/2023,Beras Sania 5 Kg,20,Dus
11/7/2023,Minyak Kita Pouch 1 Liter,3,Dus
11/7/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/7/2023,Sun Kara ,2,Dus
11/7/2023,Indocafe Mix ,2,Dus
11/7/2023,Gula Gmp 1 Kg ,1,Dus
11/7/2023,Minyak Rizki Botol 900 gr,25,Dus
11/7/2023,Minya Sania Pouch 2 Liter,30,Dus
11/7/2023,Gula Gmp 1 Kg ,25,Dus
11/8/2023,Minyak Sunco Pouch 2 Liter,50,Dus
11/8/2023,Rosebrand 1 Kg,15,Dus
11/8/2023,Terigu Kunci Biru 1 Kg,10,Dus
11/8/2023,Minyak Tropikal Botol 1 Liter,50,Dus
11/8/2023,Minyak Tropikal Botol 2 Liter ,30,Dus
11/8/2023,Minyak Rizki Botol 900 gr,30,Dus
11/8/2023,Minyak Kita Botol 1 Liter ,2,Dus
11/8/2023,Minyak Kita Botol 2 Liter,1,Dus
11/9/2023,Beras SIIP 5 Kg ,3,Dus
11/9/2023,Minyak Kita Pouch 2 Liter ,1,Dus
11/9/2023,Indomie Goreng ,2,Dus
11/9/2023,Terigu Segitiga Ekonomis1/2 Kg,20,Dus
11/9/2023,Minyak Sania Pouch 1 Liter,30,Dus
11/9/2023,Gulaku 1 Kg,15,Dus
11/9/2023,Minyak Kita Botol 1 Liter ,2,Dus
11/9/2023,Minyak Kita Botol 2 Liter,1,Dus
11/10/2023,Beras SIIP 5 Kg ,15,Dus
11/10/2023,Kapal Api tanpa Gula Sachet ,10,Dus
11/10/2023,Sun Kara ,2,Dus
11/10/2023,Minyak Kita Botol 2 Liter,1,Dus
11/10/2023,Abc Mocca,10,Dus
11/10/2023,Kapal Api Mix sachet,10,Dus
11/10/2023,Indomie Soto,2,Dus
11/10/2023,Minyak Sania Pouch 1 Liter,1,Dus
11/11/2023,Rosebrand 1 Kg,20,Dus
11/11/2023,Gula Psm 1 Kg,25,Dus
11/11/2023,Indomie Soto,50,Dus
11/11/2023,Beras Sania 5 Kg,10,Dus
11/11/2023,Minyak Sovia Pouch 2 Liter ,30,Dus
11/11/2023,Minyak Sovia Pouch 1 Liter ,25,Dus
11/11/2023,Kapal Api Tnp gl Sachet besar,20,Dus
11/12/2023,Rosebrand 1 Kg,20,Dus
11/12/2023,Minyak Bimoli Botol 2 Liter,30,Dus
11/12/2023,Rosebrand 1 Kg,10,Dus
11/12/2023,Minyak Rizki Botol 900 gr,30,Dus
11/12/2023,Minya Sania Pouch 2 Liter,20,Dus
11/12/2023,Gula Gmp 1 Kg ,25,Dus
11/12/2023,Sun Kara ,50,Dus
11/12/2023,Gulaku 1 Kg,15,Dus
11/12/2023,Minyak Sania Pouch 1 Liter,20,Dus
11/12/2023,Minyak Sovia Pouch 2 Liter ,30,Dus
11/13/2023,Sun Kara ,50,Dus
11/13/2023,Gulaku 1 Kg,20,Dus
11/13/2023,Indomie Kari Ayam ,10,Dus
11/13/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/13/2023,Terigu Segitiga Ekonomis 1 Kg,6,Dus
11/13/2023,Minyak Kita Pouch 1 Liter,3,Dus
11/13/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/13/2023,Minyak Kita Botol 1 Liter ,2,Dus
11/13/2023,Minyak Kita Botol 2 Liter,1,Dus
11/14/2023,Indocafe Mix ,2,Dus
11/14/2023,Gula Gmp 1 Kg ,2,Dus
11/14/2023,Minyak Tropikal Botol 2 Liter ,50,Dus
11/14/2023,Minyak Rizki Botol 900 gr,20,Dus
11/14/2023,Indomie Kari Ayam ,50,Dus
11/14/2023,Minyak Kita Botol 1 Liter ,2,Dus
11/14/2023,Minyak Kita Botol 2 Liter,1,Dus
11/14/2023,Sun Kara ,3,Dus
11/15/2023,Minyak Sunco Pouch 2 Liter,50,Dus
11/15/2023,Rosebrand 1 Kg,20,Dus
11/15/2023,Terigu Kunci Biru 1 Kg,30,Dus
11/15/2023,Indomie Goreng ,15,Dus
11/15/2023,Gula Gmp 1 Kg ,25,Dus
11/15/2023,Sun Kara ,10,Dus
11/15/2023,Gula Gmp 1 Kg ,50,Dus
11/16/2023,Beras SIIP 5 Kg ,2,Dus
11/16/2023,Minyak Kita Pouch 2 Liter ,2,Dus
11/16/2023,Indomie Goreng ,2,Dus
11/16/2023,Rosebrand 1 Kg,2,Dus
11/16/2023,Sun Kara ,1,Dus
